precinct,raceName,name,votePercentage
1004,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,80.17%
1004,"Judge, Court of Criminal Appeals, Place 9",David Newell ,22.09%
1004,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,77.91%
1004,"State Senator, District 26",Jos,83.99%
1004,"State Senator, District 26",Juli,16.01%
1004,"State Representative, District 119",George B. Garza ,19.35%
1004,"State Representative, District 119","Elizabeth ""Liz"" Campos ",77.22%
1004,"State Representative, District 119",Arthur M. Thomas IV ,1.41%
1004,"State Representative, District 119",Antonio Padron ,2.02%
1004,"Chief Justice, 4th Court of Appeals District",Ren,19.02%
1004,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,80.98%
1004,"District Judge, 37th Judicial District",Joseph P. Appelt ,18.26%
1004,"District Judge, 37th Judicial District",Nicole Garza ,81.74%
1004,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,22.61%
1004,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,77.39%
1004,"District Judge, 386th Judicial District",Daphne Previti Austin ,18.76%
1004,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",81.24%
1004,"District Judge, 399th Judicial District",Walden Shelton ,16.25%
1004,"District Judge, 399th Judicial District",Frank J. Castro ,83.75%
1004,"District Judge, 407th Judicial District",Stephani Walsh ,17.86%
1004,"District Judge, 407th Judicial District",Tina Torres ,82.14%
1004,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",18.00%
1004,Sheriff,Javier Salazar ,81.60%
1004,Sheriff,Write-In Totals ,0.40%
1004,County Tax Assessor-Collector,Stephen David Pennington ,19.76%
1004,County Tax Assessor-Collector,Albert Uresti ,80.24%
1004,"County Commissioner, Precinct No. 1",Gabriel Lara ,19.30%
1004,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",80.70%
1004,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,77.02%
1004,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,22.98%
1004,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,82.19%
1004,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,17.81%
1004,Advanced Transportation District - Proposition A,FOR ,70.67%
1004,Advanced Transportation District - Proposition A,AGAINST ,29.33%
1004,SAN ANTONIO ISD - PROPOSITION A,FOR ,68.65%
1004,SAN ANTONIO ISD - PROPOSITION A,AGAINST ,31.35%
1004,SAN ANTONIO ISD - PROPOSITION B,FOR ,70.64%
1004,SAN ANTONIO ISD - PROPOSITION B,AGAINST ,29.36%
1005,President and Vice President,Donald J. Trump ,22.27%
1005,President and Vice President,Joseph R. Biden ,76.17%
1005,President and Vice President,Jo Jorgensen ,0.67%
1005,President and Vice President,Howie Hawkins ,0.89%
1005,President and Vice President,Write-In Totals ,0.00%
1005,United States Senator,John Cornyn ,23.56%
1005,United States Senator,"Mary ""MJ"" Hegar ",73.67%
1005,United States Senator,Kerry Douglas McKennon ,1.15%
1005,United States Senator,David B. Collins ,1.62%
1005,United States Senator,Write-In Totals ,0.00%
1005,"United States Representative, District 20",Mauro Garza ,17.39%
1005,"United States Representative, District 20",Joaquin Castro ,81.01%
1005,"United States Representative, District 20",Jeffrey Blunt ,1.60%
1005,Railroad Commissioner,"James ""Jim"" Wright ",19.91%
